,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Count
0,2006,41.36,28.96,3.77,8.45,82.53,76.0,51.0,322.0
1,1985,29.08,3.58,6.81,0.77,40.24,,,
2,2008,15.68,12.76,3.79,3.29,35.52,82.0,73.0,709.0
3,2009,15.61,10.93,3.28,2.95,32.77,80.0,73.0,192.0
4,1996,11.27,8.89,10.22,1.0,31.37,,,
5,1989,23.2,2.26,4.22,0.58,30.26,,,
6,2006,11.28,9.14,6.5,2.88,29.8,89.0,65.0,431.0
7,2006,13.96,9.18,2.93,2.84,28.92,58.0,41.0,129.0
8,2009,14.44,6.94,4.7,2.24,28.32,87.0,80.0,594.0
9,1984,26.93,0.63,0.28,0.47,28.31,,,
10,2005,9.05,10.95,1.93,2.74,24.67,,,
11,2005,9.71,7.47,4.13,1.9,23.21,91.0,64.0,464.0
12,1999,9.0,6.18,7.2,0.71,23.1,,,
13,2007,8.92,8.03,3.6,2.15,22.7,80.0,63.0,146.0
14,2010,15.0,4.89,0.24,1.69,21.81,61.0,45.0,106.0
15,2009,9.01,8.49,2.53,1.77,21.79,80.0,33.0,52.0
16,2013,7.02,9.09,0.98,3.96,21.04,97.0,50.0,3994.0
17,2004,9.43,0.4,0.41,10.57,20.81,95.0,80.0,1588.0
18,1990,12.78,3.75,3.54,0.55,20.61,,,
19,2005,4.74,9.2,4.16,2.04,20.15,77.0,58.0,50.0
20,2006,6.38,4.46,6.04,1.36,18.25,,,
21,1989,10.83,2.71,4.18,0.42,18.14,,,
22,1988,9.54,3.44,3.84,0.46,17.28,,,
23,2013,9.66,5.14,0.06,1.41,16.27,97.0,58.0,3711.0
24,2002,8.41,5.49,0.47,1.78,16.15,95.0,62.0,730.0
25,2002,6.06,3.9,5.38,0.5,15.85,,,
26,2005,3.43,5.35,5.32,1.18,15.29,77.0,37.0,19.0
27,2010,5.51,3.17,5.65,0.8,15.14,,,
28,2001,6.85,5.09,1.87,1.16,14.98,95.0,54.0,314.0
29,2011,9.04,4.24,0.13,1.32,14.73,88.0,81.0,8713.0
30,1998,5.89,5.04,3.12,0.59,14.64,,,
31,2015,6.03,5.86,0.36,2.38,14.63,,,
32,2010,9.7,3.68,0.11,1.13,14.61,87.0,89.0,1454.0
33,2013,5.28,4.19,4.35,0.78,14.6,,,
34,2012,4.99,5.73,0.65,2.42,13.79,83.0,21.0,922.0
35,2012,8.25,4.24,0.07,1.12,13.67,83.0,73.0,2256.0
36,2009,8.52,3.59,0.08,1.28,13.47,94.0,100.0,2698.0
37,2011,5.54,5.73,0.49,1.57,13.32,88.0,39.0,5234.0
38,2001,6.99,4.51,0.3,1.3,13.1,97.0,56.0,664.0
39,2008,6.62,2.55,2.66,1.01,12.84,93.0,81.0,1662.0
40,2011,5.03,4.02,2.69,0.91,12.66,85.0,73.0,632.0
41,2010,5.99,4.37,0.48,1.79,12.63,88.0,58.0,1094.0
42,2014,3.96,6.31,0.38,1.97,12.61,97.0,66.0,2899.0
43,2005,2.5,3.45,5.33,0.86,12.13,86.0,57.0,242.0
44,2007,7.97,2.81,0.13,1.21,12.12,94.0,86.0,4100.0
45,1996,6.91,2.85,1.91,0.23,11.89,,,
46,2009,4.34,2.71,3.96,0.76,11.77,,,
47,2014,4.35,3.49,3.1,0.74,11.68,,,
48,2004,3.01,0.01,1.1,7.53,11.66,89.0,74.0,272.0
49,2007,6.06,3.35,1.2,0.74,11.35,97.0,73.0,2147.0
50,1992,6.16,2.04,2.69,0.29,11.18,,,
51,2008,6.76,3.07,0.14,1.03,11.01,98.0,86.0,2951.0
52,1997,4.02,3.87,2.54,0.52,10.95,96.0,16.0,138.0
53,2011,4.89,3.0,2.14,0.78,10.81,90.0,82.0,921.0
54,2010,2.96,4.82,0.81,2.11,10.7,84.0,82.0,1112.0
55,2009,4.99,3.64,0.38,1.6,10.6,94.0,67.0,2073.0
56,1993,5.99,2.15,2.12,0.29,10.55,,,
57,2008,4.76,3.69,0.44,1.61,10.5,98.0,64.0,2833.0
58,2004,4.34,2.65,3.15,0.35,10.49,,,
59,2004,5.01,3.07,1.25,0.97,10.3,,,
60,2013,6.73,2.56,0.04,0.91,10.25,73.0,29.0,2117.0
61,2011,5.95,3.11,0.0,1.06,10.12,74.0,15.0,16.0
62,2012,3.66,3.14,2.47,0.63,9.9,78.0,70.0,424.0
63,1996,5.55,1.94,2.23,0.15,9.87,,,
64,2010,7.04,1.95,0.08,0.79,9.86,91.0,99.0,2045.0
65,1997,3.01,2.47,3.28,0.96,9.72,92.0,20.0,1282.0
66,2012,6.65,2.28,0.04,0.74,9.71,87.0,87.0,3260.0
67,1999,3.88,3.42,1.69,0.5,9.49,93.0,23.0,135.0
68,2010,5.8,2.85,0.01,0.78,9.44,74.0,24.0,24.0
69,2013,4.1,3.63,0.38,1.25,9.36,71.0,10.0,1047.0
70,2007,5.93,2.36,0.13,0.9,9.31,94.0,70.0,1320.0
71,1994,4.36,1.71,3.0,0.23,9.3,,,
72,2013,5.7,2.65,0.02,0.81,9.18,,,
73,2012,2.03,2.36,4.39,0.39,9.16,88.0,70.0,626.0
74,2007,4.4,1.85,1.98,0.68,8.91,72.0,27.0,85.0
75,2011,5.05,2.79,0.1,0.85,8.79,96.0,89.0,3589.0
76,1992,3.54,1.24,3.81,0.18,8.76,,,
77,2015,1.12,6.12,0.06,1.28,8.57,82.0,42.0,896.0
